AC	ID	DE	AU	SE	SS	GA	TC	NC	TP	BM	CB	SM	DR	RN	RM	RT	RA	RL	WK	SQ	CC	PI	CL	**
RF00378	Qrr	Qrr RNA	Moxon SJ; 0000-0003-4644-1816	PMID:15242645	Published; PMID:15242645; Moxon SJ	50.00	59.20	42.10	Gene; sRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 26.99 -Z 549862.597050 CM SEQDB	SO; 0000655; ncRNA;;GO; 0009372; quorum sensing;	[1];[2];[3]	15242645;25579683;17234887	The Small RNA Chaperone Hfq and Multiple Small RNAs Control Quorum Sensing;in Vibrio harveyi and Vibrio cholerae.;A qrr noncoding RNA deploys four different regulatory mechanisms to;optimize quorum-sensing dynamics.;Multiple small RNAs act additively to integrate sensory information and;control quorum sensing in Vibrio harveyi.	Lenz DH, Mok KC, Lilley BN, Kulkarni RV, Wingreen NS, Bassler BL;Feng L, Rutherford ST, Papenfort K, Bagert JD, van Kessel JC, Tirrell DA,;Wingreen NS, Bassler BL;Tu KC, Bassler BL	Cell 2004;118:69-82.;Cell. 2015;160:228-240.;Genes Dev. 2007;21:221-233.	Qrr_RNA	30	This family represents a set of small RNAs (the Qrr RNAs) that are thought;to be involved in the regulation of quorum sensing in Vibrio species. It;is believed that these RNAs, guided by a protein, Hfq, can mediate the;destabilisation of the quorum-sensing master regulators LuxR/HapR mRNAs;[1].			
RF00976	mir-583	microRNA mir-583	Griffiths-Jones SR; 0000-0001-6043-807X	Griffiths-Jones SR	Predicted; RNAalifold	80.00	86.60	77.10	Gene; miRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 0 --verbose --nohmmonly -T 25.00 -Z 742849.287494 CM SEQDB	MIPF; MIPF0000482;;SO; 0001244; pre_miRNA;;GO; 0016442; RISC complex;;GO; 0035195; gene silencing by miRNA;	[1];[2];[3];[4]	16505370;20214803;18760970;30423142	The colorectal microRNAome.;Genome-wide comparative analysis of microRNAs in three non-human primates.;Computational identification of novel microRNA homologs in the chimpanzee;genome.;miRBase: from microRNA sequences to function.	Cummins JM, He Y, Leary RJ, Pagliarini R, Diaz LA Jr, Sjoblom T, Barad O,;Bentwich Z, Szafranska AE, Labourier E, Raymond CK, Roberts BS, Juhl H,;Kinzler KW, Vogelstein B, Velculescu VE;Brameier M;Baev V, Daskalova E, Minkov I;Kozomara A, Birgaoanu M, Griffiths-Jones S	Proc Natl Acad Sci U S A. 2006;103:3687-3692.;BMC Res Notes. 2010;3:64.;Comput Biol Chem. 2009;33:62-70.;Nucleic Acids Res. 2019;47:D155.	MicroRNA	4				
RF01098	RF_site9	Gag/pro ribosomal frameshift site	Wilkinson A; 0000-0001-7406-0151	Pseudobase	Pseudobase	70.00	70.40	63.80	Cis-reg; frameshift_element;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 27 -Z 549862.597050 CM SEQDB	PKBASE; PKB00080;;SO; 0005836; regulatory_region;;GO; 0075523; viral translational frameshifting;	[1];[2];[3];[4]	2402881;1309954;7723043;8759314	RNA pseudoknots: translational frameshifting and readthrough on viral;RNAs.;An RNA pseudoknot and an optimal heptameric shift site are required for;highly efficient ribosomal frameshifting on a retroviral messenger RNA.;The structure of an RNA pseudoknot that causes efficient frameshifting in;mouse mammary tumor virus.;A characteristic bent conformation of RNA pseudoknots promotes -1;frameshifting during translation of retroviral RNA.	ten Dam EB, Pleij CW, Bosch L;Chamorro M, Parkin N, Varmus HE;Shen LX, Tinoco I Jr;Chen X, Kang H, Shen LX, Chamorro M, Varmus HE, Tinoco I Jr	Virus Genes. 1990;4:121-136.;Proc Natl Acad Sci U S A. 1992;89:713-717.;J Mol Biol. 1995;247:963-978.;J Mol Biol. 1996;260:479-483.	Ribosomal_frameshift	2				
RF03152	RAGATH-1-hammerhead	RAGATH-1 hammerhead ribozyme	Weinberg Z; 0000-0002-6681-3624	Published; PMID:26167874;	Published; PMID:26167874;	56.30	56.30	37.00	Gene; ribozyme;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 30.00 -Z 742849.287494 CM SEQDB	SO; 0001263; ncRNA_gene;	[1]	26167874	New classes of self-cleaving ribozymes revealed by comparative genomics;analysis.	Weinberg Z, Kim PB, Chen TH, Li S, Harris KA, Lunse CE, Breaker RR	Nat Chem Biol. 2015;11:606-610.	Hammerhead_ribozyme	16	RNA motif Associated with Genes Associated with Twister and Hammerhead;ribozymes (RAGATH) [1].			
RF02080	STnc170	Salmonella enterica sRNA STnc170	Eberhardt R; 0000-0001-6152-1369	Predicted; CMfinder; Eberhardt R	Predicted; CMfinder;	80.00	97.90	28.80	Gene; sRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 21.58 -Z 549862.597050 CM SEQDB	SO; 0001263; ncRNA_gene;	[1]	18725932	Deep sequencing analysis of small noncoding RNA and mRNA targets of the;global post-transcriptional regulator, Hfq.	Sittka A, Lucchini S, Papenfort K, Sharma CM, Rolle K, Binnewies TT,;Hinton JC, Vogel J	PLoS Genet. 2008;4:e1000163.	Bacterial_small_RNA	3				
RF01605	plasmodium_snoR30	small nucleolar RNA snoR30	Osuch I	INFERNAL	Predicted; Osuch I	43.00	43.40	40.80	Gene; snRNA; snoRNA; CD-box;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -E 1000 -Z 549862.597050 CM SEQDB	SO; 0000593; C_D_box_snoRNA;;GO; 0006396; RNA processing;;GO; 0005730; nucleolus;	[1]	17901154	Structural RNAs of known and unknown function identified in malaria;parasites by comparative genomics and RNA analysis.	Chakrabarti K, Pearson M, Grate L, Sterne-Weiler T, Deans J, Donohue JP,;Ares M Jr	RNA. 2007;13:1923-1939.	Small_nucleolar_RNA	3				
RF04145	MIR8706	MIR8706 microRNA precursor family	Griffiths-Jones SR; 0000-0001-6043-807X	Griffiths-Jones SR	Predicted; RNAalifold	95.00	97.70	94.60	Gene; miRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 30.00 -Z 742849.287494 CM SEQDB	MIPF; MIPF0001953;;URL; http://www.mirbase.org;;SO; 0001244; pre_miRNA;	[1]	30423142	miRBase: from microRNA sequences to function.	Kozomara A, Birgaoanu M, Griffiths-Jones S	Nucleic Acids Res. 2019;47:D155.	MicroRNA	2	This family represents the microRNA (miRNA) precursor MIR8706 imported;from miRBase.			
RF01437	S_pombe_snR10	small nucleolar RNA snR10	Osuch I	INFERNAL	Predicted; RNAalifold; Osuch I	50.00	58.40	40.90	Gene; snRNA; snoRNA; HACA-box;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -E 1000 -Z 549862.597050 CM SEQDB	SO; 0001263; ncRNA_gene;;GO; 0006396; RNA processing;;GO; 0005730; nucleolus;	[1]	15716270	Identification and functional analysis of 20 Box H/ACA small nucleolar;RNAs (snoRNAs) from Schizosaccharomyces pombe.	Li SG, Zhou H, Luo YP, Zhang P, Qu LH	J Biol Chem. 2005;280:16446-16455.	Small_nucleolar_RNA	2			CL00031	
RF03360	mir-3156	mir-3156 microRNA precursor family	Griffiths-Jones SR; 0000-0001-6043-807X	Griffiths-Jones SR	Predicted; RNAalifold	76.00	76.50	71.20	Gene; miRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 25.00 -Z 742849.287494 CM SEQDB	MIPF; MIPF0000891;;URL; http://www.mirbase.org;;SO; 0001244; pre_miRNA;	[1]	30423142	miRBase: from microRNA sequences to function.	Kozomara A, Birgaoanu M, Griffiths-Jones S	Nucleic Acids Res. 2019;47:D155.	MicroRNA	3	This family represents the microRNA (miRNA) precursor mir-3156 imported;from miRBase.			
RF00181	SNORD113	Small nucleolar RNA SNORD113/SNORD114 family	Griffiths-Jones SR; 0000-0001-6043-807X;Daub J; 0000-0001-6022-563X	PMID:12045206	Published; PMID:12045206	36.00	36.00	35.90	Gene; snRNA; snoRNA; CD-box;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 24 -Z 549862.597050 CM SEQDB	SO; 0000593; C_D_box_snoRNA;;GO; 0006396; RNA processing;;GO; 0005730; nucleolus;;snoopy; Mus_musculus300531;;snoopy; Homo_sapiens300018;	[1]	12045206	Identification of tandemly-repeated C/D snoRNA genes at the imprinted;human 14q32 domain reminiscent of those at the Prader-Willi/Angelman;syndrome region.	Cavaille J, Seitz H, Paulsen M, Ferguson-Smith AC, Bachellerie JP	Hum Mol Genet 2002;11:1527-1538.	Small_nucleolar_RNA_SNORD113	59	The imprinted human domain at 14q32 contains two clusters of tandemly;repeated small nucleolar RNAs named 14q(I) and 14q(II) snoRNAs. These two;clusters are named SNORD113 and SNORD114 respectively in the HGNC approved;gene symbol nomenclature. The snoRNAs found in both clusters are clearly;related and are represented here by a single family. These snoRNAs are;intron encoded and are processed from the tissue-specific non-coding human;MEG8 RNA, which lies downstream of the imprinted genes DLK1 and GTL2.;snoRNAs 14q(I) and 14q(II) differ from previously identified C/D box;snoRNAs in their expression profiles and lack of complementarity to rRNA;and snRNA. Homologues of these snoRNAs are found in the imprinted;non-coding mouse transcript Rian, and in the rat non-coding Bsr;(brain-specific repetitive) RNA.	sno_14q_I_II; sno_14q_I	CL00069	
RF01053	Deinococcus_Y_RNA	Deinococcus radiodurans Y RNA	Gardner PP; 0000-0002-7808-1213	Gardner PP	Published; PMID:10766734	80.00	163.40	45.40	Gene;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -E 1000 -Z 549862.597050 CM SEQDB	SO; 0000405; Y_RNA;	[1]	10766734	Ro ribonucleoproteins contribute to the resistance of Deinococcus;radiodurans to ultraviolet irradiation.	Chen X, Quinn AM, Wolin SL	Genes Dev. 2000;14:777-782.	Y_RNA	2				
RF03704	MIR4380	MIR4380 microRNA precursor family	Griffiths-Jones SR; 0000-0001-6043-807X	Griffiths-Jones SR	Predicted; RNAalifold	83.00	83.50	82.90	Gene; miRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 25.00 -Z 742849.287494 CM SEQDB	MIPF; MIPF0001117;;URL; http://www.mirbase.org;;SO; 0001244; pre_miRNA;	[1]	30423142	miRBase: from microRNA sequences to function.	Kozomara A, Birgaoanu M, Griffiths-Jones S	Nucleic Acids Res. 2019;47:D155.	MicroRNA	3	This family represents the microRNA (miRNA) precursor MIR4380 imported;from miRBase.			
RF03536	Flavi_TBFV_xrRNA	Tick-borne Flavivirus exoribonuclease-resistant RNA element	Lamkiewicz K; 0000-0002-6375-6441	Lamkiewicz K	Predicted; LocARNA 2.0.0RC8	46.50	46.50	35.90	Cis-reg;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 30.00 -Z 742849.287494 CM SEQDB	SO; 0000205; three_prime_UTR;	[1];[2];[3];[4];[5];[6];[7]	19064258;23006624;25635835;28587300;18701589;29866852;32848042	A highly structured, nuclease-resistant, noncoding RNA produced by;flaviviruses is required for pathogenicity.;A noncoding RNA produced by arthropod-borne flaviviruses inhibits the;cellular exoribonuclease XRN1 and alters host mRNA stability.;Dengue virus RNA structure specialization facilitates host adaptation.;The 5' and 3' Untranslated Regions of the Flaviviral Genome.;A viral noncoding RNA generated by cis-element-mediated protection against;5'->3' RNA decay represses both cap-independent and cap-dependent;translation.;A folded viral noncoding RNA blocks host cell exoribonucleases through a;conformationally dynamic RNA structure.;The crystal structure of a Polerovirus exoribonuclease-resistant RNA shows;how diverse sequences are integrated into a conserved fold.	Pijlman GP, Funk A, Kondratieva N, Leung J, Torres S, van der Aa L, Liu;WJ, Palmenberg AC, Shi PY, Hall RA, Khromykh AA;Moon SL, Anderson JR, Kumagai Y, Wilusz CJ, Akira S, Khromykh AA, Wilusz J;Villordo SM, Filomatori CV, Sanchez-Vargas I, Blair CD, Gamarnik AV;Ng WC, Soto-Acosta R, Bradrick SS, Garcia-Blanco MA, Ooi EE;Iwakawa HO, Mizumoto H, Nagano H, Imoto Y, Takigawa K, Sarawaneeyaruk S,;Kaido M, Mise K, Okuno T;Steckelberg AL, Akiyama BM, Costantino DA, Sit TL, Nix JC, Kieft JS;Steckelberg AL, Vicens Q, Costantino DA, Nix JC, Kieft JS	Cell Host Microbe. 2008;4:579-591.;RNA. 2012;18:2029-2040.;PLoS Pathog. 2015;11:e1004604.;Viruses. 2017; [Epub ahead of print];J Virol. 2008;82:10162-10174.;Proc Natl Acad Sci U S A. 2018;115:6404-6409.;RNA. 2020; [Epub ahead of print]	Flavivirus_3_UTR	18	The exoribonuclease-resistant RNA elements (xrRNA) are described;throughout all groups of flaviviruses. Usually, each virus harbors two;xrRNAs, xrRNA1 and xrRNA2, in the beginning of the 3' UTR [1]. The;formation of these stem-loops, especially xrRNA1, is vital to ensure;resistance against XRN1 activity [2]. The Y-shaped stem-loop is also;termed SL II and SL IV, respectively. In order to function as xrRNA, the;sequence downstream is needed as well, since the upper loop region forms a;pseudoknot (PK) with the single-stranded region directly downstream to its;respective hairpin. In some species, the region downstream also forms a;small hairpin. In such cases, the PK interactions takes place between the;two loop regions. Conserved formation of these structures were observed in;mammalian cells but not in mosquito cells, suggesting this region has;varying functions in different hosts[3][4]. In plant-viruses, xrRNA;elements have been observed as well, showing some similarities to;flaviviral xrRNAs[5][6]. However, plant-virus xrRNA and flaviviral xrRNA;are distinguishable by their underlying three-dimensional folds[7].			
RF01261	snR82	Small nucleolar RNA snR82	Wilkinson A; 0000-0001-7406-0151	Predicted; WAR; Wilkinson A	Predicted; WAR; Wilkinson A	60.00	63.50	50.90	Gene; snRNA; snoRNA; HACA-box;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -E 1000 -Z 549862.597050 CM SEQDB	snornadb; snR82;;SO; 0001263; ncRNA_gene;;GO; 0006396; RNA processing;;GO; 0005730; nucleolus;;snoopy; Saccharomyces_cerevisiae300020;	[1]	12853629	Computational identification of non-coding RNAs in Saccharomyces;cerevisiae by comparative genomics.	McCutcheon JP, Eddy SR	Nucleic Acids Res. 2003;31:4119-4128.	Small_nucleolar_RNA	5			CL00040	
RF00949	mir-983	microRNA mir-983	Griffiths-Jones SR; 0000-0001-6043-807X	Griffiths-Jones SR	Predicted; RNAalifold	100.00	100.10	56.30	Gene; miRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 30.00 -Z 742849.287494 CM SEQDB	MIPF; MIPF0000450;;SO; 0001244; pre_miRNA;;GO; 0016442; RISC complex;;GO; 0035195; gene silencing by miRNA;	[1];[2];[3]	17989254;20037610;30423142	Evolution, biogenesis, expression, and target predictions of a;substantially expanded set of Drosophila microRNAs.;Evolutionary flux of canonical microRNAs and mirtrons in Drosophila.;miRBase: from microRNA sequences to function.	Ruby JG, Stark A, Johnston WK, Kellis M, Bartel DP, Lai EC;Berezikov E, Liu N, Flynt AS, Hodges E, Rooks M, Hannon GJ, Lai EC;Kozomara A, Birgaoanu M, Griffiths-Jones S	Genome Res. 2007;17:1850-1864.;Nat Genet. 2010; [Epub ahead of print];Nucleic Acids Res. 2019;47:D155.	MicroRNA	3				
RF00175	HIV-1_DIS	Human immunodeficiency virus type 1 dimerisation initiation site	Bateman A; 0000-0002-6982-4660;Daub J; 0000-0001-6022-563X	Bateman A	Published; PMID:8627772	35.00	35.00	34.90	Cis-reg;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 27 -Z 549862.597050 CM SEQDB	SO; 0000233; mature_transcript;;GO; 0019074; viral RNA genome packaging;	[1];[2];[3];[4];[5];[6];[7];[8];[9]	9032337;9151848;8627772;12851400;12559920;10926523;9743628;11724565;8794309	Position dependence of functional hairpins important for human;immunodeficiency virus type 1 RNA encapsidation in vivo.;Efficient encapsidation of human immunodeficiency virus type 1 vectors and;further characterization of cis elements required for encapsidation.;The human immunodeficiency virus type 1 encapsidation site is a;multipartite RNA element composed of functional hairpin structures.;Rev binds specifically to a purine loop in the SL1 region of the HIV-1;leader RNA.;Structure of the intact stem and bulge of HIV-1 Psi-RNA stem-loop SL1.;NMR structure of the HIV-1 nucleocapsid protein bound to stem-loop SL2 of;the psi-RNA packaging signal. Implications for genome recognition.;Three-dimensional folding of an RNA hairpin required for packaging HIV-1.;Structure of SL4 RNA from the HIV-1 packaging signal.;Role of the DIS hairpin in replication of human immunodeficiency virus;type 1.	McBride MS, Panganiban AT;McBride MS, Schwartz MD, Panganiban AT;McBride MS, Panganiban AT;Gallego J, Greatorex J, Zhang H, Yang B, Arunachalam S, Fang J, Seamons J,;Lea S, Pomerantz RJ, Lever AM;Lawrence DC, Stover CC, Noznitsky J, Wu Z, Summers MF;Amarasinghe GK, De Guzman RN, Turner RB, Chancellor KJ, Wu ZR, Summers MF;Pappalardo L, Kerwood DJ, Pelczer I, Borer PN;Kerwood DJ, Cavaluzzi MJ, Borer PN;Berkhout B, van Wamel JL	J Virol 1997;71:2050-2058.;J Virol 1997;71:4544-4554.;J Virol 1996;70:2963-2973.;J Biol Chem 2003;278:40385-40391.;J Mol Biol 2003;326:529-542.;J Mol Biol 2000;301:491-511.;J Mol Biol 1998;282:801-818.;Biochemistry 2001;40:14518-14529.;J Virol. 1996;70:6723-6732.	Retroviral_Psi_packaging_element	70	This cis element is composed of four hairpins called SL1 to SL4 (SL is for;Stem Loop). This element is involved in encapsidation of the retroviral;RNA an essential step in replication [1-3]. It is found in HIV, SIV and;CIV. It has been shown that SL1 may provide a secondary binding site for;Rev [4]. SL1 [5], SL2 [6], SL3 [7] and SL4 [8] have been independently;expressed and structurally characterised.	Retroviral_psi		
RF02622	BSnc121	Brucella sRNA 121	Argasinska J; 0000-0003-2678-2824	Argasinska J	Predicted; RNAfold	114.00	138.70	53.80	Gene; sRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 30.00 -Z 549862.597050 --mxsize;128 CM SEQDB	SO; 0000370; small_regulatory_ncRNA;	[1]	26553849	Transcriptome-Wide Identification of Hfq-Associated RNAs in Brucella suis;by Deep Sequencing.	Saadeh B, Caswell CC, Chao Y, Berta P, Wattam AR, Roop RM 2nd, O'Callaghan;D	J Bacteriol. 2015;198:427-435.	Brucella_sRNA	2				
RF02410	snoR136	Small nucleolar RNA snoR136	Eberhardt R; 0000-0001-6152-1369	Predicted	Predicted; mfold	43.00	43.80	42.10	Gene; snRNA; snoRNA; HACA-box;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -E 1000 -Z 549862.597050 CM SEQDB	SO; 0000594; H_ACA_box_snoRNA;;GO; 0006396; RNA processing;;GO; 0005730; nucleolus;	[1]	19357091	Mining small RNA sequencing data: a new approach to identify small;nucleolar RNAs in Arabidopsis.	Chen HM, Wu SH	Nucleic Acids Res. 2009;37:e69.	Small_nucleolar_RNA	8				
RF01295	SCARNA7	Small Cajal body-specific RNA 7	Wilkinson A; 0000-0001-7406-0151	Predicted; Wilkinson A	Predicted; Wilkinson A	65.00	67.90	51.20	Gene; snRNA; snoRNA; scaRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -E 1000 -Z 549862.597050 CM SEQDB	URL; http://snoopy.med.miyazaki-u.ac.jp/view.cgi?id=HUM30105;;snoRNABase; U90;;SO; 0001263; ncRNA_gene;;GO; 0006396; RNA processing;;GO; 0005730; nucleolus;	[1]	12032087	Cajal body-specific small nuclear RNAs: a novel class of 2'-O-methylation;and pseudouridylation guide RNAs.	Darzacq X, Jady BE, Verheggen C, Kiss AM, Bertrand E, Kiss T	EMBO J. 2002;21:2746-2756.	Small_nucleolar_RNA	18		snoU90		
RF02074	STnc240	Enterobacterial sRNA STnc240	Eberhardt R; 0000-0001-6152-1369	Predicted; WAR; Eberhardt R	Predicted; WAR;	55.00	55.60	53.20	Gene; sRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 31.65 -Z 549862.597050 CM SEQDB	SO; 0001263; ncRNA_gene;	[1]	18725932	Deep sequencing analysis of small noncoding RNA and mRNA targets of the;global post-transcriptional regulator, Hfq.	Sittka A, Lucchini S, Papenfort K, Sharma CM, Rolle K, Binnewies TT,;Hinton JC, Vogel J	PLoS Genet. 2008;4:e1000163.	Bacterial_small_RNA	15				
RF02848	RefB11	Enterococcus sRNA B11	Argasinska J; 0000-0003-2678-2824;Repoila F; 0000-0001-5149-9698	Argasinska J	Predicted; RNAfold;	54.00	54.60	53.60	Gene; sRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 30.00 -Z 604040.189692 --mxsize;128 CM SEQDB	SO; 0000370; small_regulatory_ncRNA;	[1];[2]	21912655;25737579	Genome-wide identification of small RNAs in the opportunistic pathogen;Enterococcus faecalis V583.;Whole-genome mapping of 5' RNA ends in bacteria by tagged sequencing: a;comprehensive view in Enterococcus faecalis.	Shioya K, Michaux C, Kuenne C, Hain T, Verneuil N, Budin-Verneuil A,;Hartsch T, Hartke A, Giard JC;Innocenti N, Golumbeanu M, Fouquier d'Herouel A, Lacoux C, Bonnin RA,;Kennedy SP, Wessner F, Serror P, Bouloc P, Repoila F, Aurell E	PLoS One. 2011;6:e23948.;RNA. 2015;21:1018-1030.	Enterococcus_faecalis	4	Name ‘Ref’ stands for RNA in E. faecalis. Encoded by pTEF2 plasmid. 22;nucleotides removed from 3'end of original sequence as it overlapped with;RF02844 (RefA9).			
RF00723	mir-448	mir-448 microRNA precursor family	Griffiths-Jones SR; 0000-0001-6043-807X	Griffiths-Jones SR	Predicted; RNAalifold	90.00	101.30	87.20	Gene; miRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 20.00 -Z 742849.287494 CM SEQDB	MIPF; MIPF0000149;;URL; http://www.mirbase.org;;SO; 0001244; pre_miRNA;;GO; 0016442; RISC complex;;GO; 0035195; gene silencing by miRNA;;GO; 0045599; negative regulation of fat cell differentiation;;GO; 0017148; negative regulation of translation;;GO; 0045596; negative regulation of cell differentiation;	[1];[2]	20403161;30423142	Small RNA expression and strain specificity in the rat.;miRBase: from microRNA sequences to function.	Linsen SE, de Wit E, de Bruijn E, Cuppen E;Kozomara A, Birgaoanu M, Griffiths-Jones S	BMC Genomics. 2010;11:249.;Nucleic Acids Res. 2019;47:D155.	Mir-448_microRNA_precursor_family	10	This family represents the microRNA (miRNA) precursor mir-448 imported;from miRBase.			
RF00511	IRES_KSHV	Kaposi's sarcoma-associated herpesvirus internal ribosome entry site	Moxon SJ; 0000-0003-4644-1816	Published; 11160685, INFERNAL	Published; PMID:11160685	100.00	317.10	30.10	Cis-reg; IRES;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -E 1000 -Z 549862.597050 CM SEQDB	SO; 0000243; internal_ribosome_entry_site;;GO; 0043022; ribosome binding;	[1];[2]	11160685;14993645	Kaposi's sarcoma-associated herpesvirus vCyclin open reading frame;contains an internal ribosome entry site.;A polypyrimidine tract facilitates the expression of Kaposi's;sarcoma-associated herpesvirus vFLIP through an internal ribosome entry;site.	Bieleski L, Talbot SJ;Bieleski L, Hindley C, Talbot SJ	J Virol 2001;75:1864-1869.;J Gen Virol 2004;85:615-620.	Kaposi's_sarcoma-associated_herpesvirus_internal_ribosome_entry_site_/;(IRES)	5	This family represents the Kaposi's sarcoma-associated herpesvirus (KSHV);internal ribosome entry site (IRES) present in the vCyclin gene. The;vCyclin and vFLIP coding sequences are present on a bicistronic transcript;and it is thought the IRES may initiate translation of vFLIP from this;bicistronic transcript [1,2].			
RF03394	mir-2574	mir-2574 microRNA precursor family	Griffiths-Jones SR; 0000-0001-6043-807X	Griffiths-Jones SR	Predicted; RNAalifold	90.00	90.00	86.90	Gene; miRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 25.00 -Z 742849.287494 CM SEQDB	MIPF; MIPF0001029;;URL; http://www.mirbase.org;;SO; 0001244; pre_miRNA;	[1]	30423142	miRBase: from microRNA sequences to function.	Kozomara A, Birgaoanu M, Griffiths-Jones S	Nucleic Acids Res. 2019;47:D155.	MicroRNA	2	This family represents the microRNA (miRNA) precursor mir-2574 imported;from miRBase.			
RF02246	Six3os1_1	Six3os1 conserved region 1	Eberhardt R; 0000-0001-6152-1369	Predicted; ClustalW	Predicted; RNAalifold	50.00	50.10	42.50	Gene; lncRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 22.64 -Z 549862.597050 CM SEQDB	SO; 0001463; lincRNA;;GO; 0010468; regulation of gene expression;	[1]	21936910	The long noncoding RNA Six3OS acts in trans to regulate retinal;development by modulating Six3 activity.	Rapicavoli NA, Poth EM, Zhu H, Blackshaw S	Neural Dev. 2011;6:32.	Six3OS1	9				
RF03369	mir-2217	mir-2217 microRNA precursor family	Griffiths-Jones SR; 0000-0001-6043-807X	Griffiths-Jones SR	Predicted; RNAalifold	60.00	69.50	40.50	Gene; miRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 0 --verbose --nohmmonly -T 25.00 -Z 742849.287494 CM SEQDB	MIPF; MIPF0001912;;URL; http://www.mirbase.org;;SO; 0001244; pre_miRNA;	[1]	30423142	miRBase: from microRNA sequences to function.	Kozomara A, Birgaoanu M, Griffiths-Jones S	Nucleic Acids Res. 2019;47:D155.	MicroRNA	4	This family represents the microRNA (miRNA) precursor mir-2217 imported;from miRBase.			
RF02089	CLRN1-AS1	CLRN1 antisense RNA 1 conserved region	Eberhardt R; 0000-0001-6152-1369	Predicted; WAR; Eberhardt R	Predicted; WAR;	48.00	49.20	43.70	Gene; lncRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 19.77 -Z 549862.597050 CM SEQDB	SO; 0001463; lincRNA;	[1]	11524702	Mutations in a novel gene with transmembrane domains underlie Usher;syndrome type 3.	Joensuu T, Hamalainen R, Yuan B, Johnson C, Tegelberg S, Gasparini P,;Zelante L, Pirvola U, Pakarinen L, Lehesjoki AE, de la Chapelle A, Sankila;EM	Am J Hum Genet. 2001;69:673-684.	CLRN1-AS1	19				
RF03967	mir-1270	mir-1270 microRNA precursor family	Griffiths-Jones SR; 0000-0001-6043-807X	Griffiths-Jones SR	Predicted; RNAalifold	90.00	90.10	88.80	Gene; miRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 25.00 -Z 742849.287494 CM SEQDB	MIPF; MIPF0000877;;URL; http://www.mirbase.org;;SO; 0001244; pre_miRNA;	[1]	30423142	miRBase: from microRNA sequences to function.	Kozomara A, Birgaoanu M, Griffiths-Jones S	Nucleic Acids Res. 2019;47:D155.	MicroRNA	2	This family represents the microRNA (miRNA) precursor mir-1270 imported;from miRBase.			
